time	V(vds)	V(vgs)	Id(M1)
0.000000000000000e+000	5.000000e+001	7.700978e-003	1.018445e-010
9.999999824516700e-015	5.000000e+001	7.700988e-003	-4.029062e-010
1.999999964903340e-014	5.000000e+001	7.700998e-003	-6.041391e-010
3.999999929806680e-014	5.000000e+001	7.701019e-003	-9.997417e-010
7.999999859613360e-014	5.000000e+001	7.701060e-003	-2.143792e-009
1.599999971922672e-013	5.000000e+001	7.701144e-003	-4.671715e-009
3.199999943845344e-013	5.000000e+001	7.701319e-003	-1.014933e-008
6.399999887690688e-013	5.000000e+001	7.701709e-003	-2.292787e-008
1.279999977538138e-012	5.000000e+001	7.702636e-003	-5.643228e-008
2.559999955076275e-012	5.000000e+001	7.705001e-003	-1.550824e-007
5.119999910152551e-012	5.000000e+001	7.711548e-003	-4.793222e-007
1.023999982030510e-011	5.000000e+001	7.730020e-003	-1.531273e-006
1.639506151984897e-011	5.000000e+001	7.762930e-003	-3.629229e-006
2.828533022161531e-011	5.000000e+001	7.864268e-003	-1.062637e-005
5.206586762514800e-011	5.000000e+001	8.161999e-003	-3.195344e-005
6.841110967029192e-011	5.000001e+001	8.465867e-003	-5.408656e-005
1.000000000000000e-010	5.000003e+001	9.222372e-003	-1.094810e-004
1.031588890329708e-010	5.000004e+001	9.314805e-003	-1.164289e-004
1.094766670989124e-010	5.000005e+001	9.500794e-003	-1.303990e-004
1.221122232307957e-010	5.000006e+001	9.877880e-003	-1.585343e-004
1.458146002309824e-010	5.000010e+001	1.059923e-002	-2.116038e-004
1.693990132859520e-010	5.000014e+001	1.133420e-002	-2.645809e-004
1.977235341624473e-010	5.000021e+001	1.223911e-002	-3.281914e-004
2.306124949313561e-010	5.000031e+001	1.331229e-002	-4.016609e-004
2.602154916959368e-010	5.000042e+001	1.429592e-002	-4.669660e-004
3.002047403468276e-010	5.000058e+001	1.564384e-002	-5.533875e-004
3.436324690190566e-010	5.000080e+001	1.712224e-002	-6.439944e-004
4.139341855940580e-010	5.000121e+001	1.952579e-002	-7.826599e-004
4.971272425669663e-010	5.000180e+001	2.235343e-002	-9.325566e-004
6.160033509996600e-010	5.000279e+001	2.631787e-002	-1.118925e-003
7.618561131979271e-010	5.000422e+001	3.101097e-002	-1.304686e-003
9.673218089263931e-010	5.000655e+001	3.728678e-002	-1.497210e-003
1.239989682188210e-009	5.001000e+001	4.510703e-002	-1.660865e-003
1.638715366739791e-009	5.001546e+001	5.587313e-002	-1.788224e-003
2.132017721228525e-009	5.002257e+001	6.877062e-002	-1.864239e-003
2.812956930863692e-009	5.003291e+001	8.812015e-002	-2.017911e-003
3.479819635401858e-009	5.004454e+001	1.131763e-001	-2.457700e-003
4.170162664971411e-009	5.006005e+001	1.498166e-001	-3.312412e-003
4.894838130413147e-009	5.008181e+001	2.007417e-001	-4.477606e-003
5.647759273071107e-009	5.011156e+001	2.666855e-001	-5.775582e-003
6.647759273071107e-009	5.016105e+001	3.711663e-001	-7.529323e-003
7.647759273071107e-009	5.021950e+001	4.914332e-001	-9.428492e-003
8.647759273071107e-009	5.028353e+001	6.249042e-001	-1.193670e-002
9.647759273071108e-009	5.034565e+001	7.659909e-001	-1.567006e-002
1.064775927307111e-008	5.039772e+001	9.088571e-001	-2.026751e-002
1.164775927307111e-008	5.043646e+001	1.050528e+000	-2.448311e-002
1.264775927307111e-008	5.046417e+001	1.191284e+000	-2.770835e-002
1.364775927307111e-008	5.048457e+001	1.332314e+000	-3.010142e-002
1.464775927307111e-008	5.050031e+001	1.474286e+000	-3.191409e-002
1.564775927307111e-008	5.051292e+001	1.617337e+000	-3.330968e-002
1.664775927307111e-008	5.052336e+001	1.761321e+000	-3.438674e-002
1.764775927307111e-008	5.053217e+001	1.905970e+000	-3.520886e-002
1.864775927307111e-008	5.053975e+001	2.050968e+000	-3.582033e-002
1.964775927307111e-008	5.054636e+001	2.195997e+000	-3.625453e-002
2.064775927307111e-008	5.055218e+001	2.340751e+000	-3.653761e-002
2.164775927307111e-008	5.055735e+001	2.484949e+000	-3.669119e-002
2.264775927307111e-008	5.056197e+001	2.628335e+000	-3.673321e-002
2.364775927307110e-008	5.056612e+001	2.770680e+000	-3.667916e-002
2.464775927307110e-008	5.056988e+001	2.911786e+000	-3.654221e-002
2.564775927307110e-008	5.057328e+001	3.051476e+000	-3.633399e-002
2.664775927307110e-008	5.057638e+001	3.189600e+000	-3.606447e-002
2.764775927307110e-008	5.057922e+001	3.326028e+000	-3.574255e-002
2.864775927307110e-008	5.058180e+001	3.460649e+000	-3.537584e-002
2.964775927307110e-008	5.058418e+001	3.593373e+000	-3.497035e-002
3.064775927307110e-008	5.058636e+001	3.724120e+000	-3.452060e-002
3.164775927307110e-008	5.058835e+001	3.852821e+000	-3.389560e-002
3.264775927307110e-008	5.059005e+001	3.979333e+000	-3.183511e-002
3.364775927307110e-008	5.059081e+001	4.103079e+000	-2.130451e-002
3.464775927307111e-008	5.058833e+001	4.222311e+000	1.693121e-002
3.564775927307111e-008	5.057798e+001	4.334002e+000	1.041877e-001
3.652703306066734e-008	5.055062e+001	4.419395e+000	2.196628e-001
3.746915775146561e-008	5.047890e+001	4.486039e+000	3.253509e-001
3.778334339104133e-008	5.040932e+001	4.484003e+000	2.808839e-001
3.795504100708163e-008	5.032571e+001	4.458751e+000	1.884046e-001
3.807638842447779e-008	5.024323e+001	4.428021e+000	1.190489e-001
3.816487967087880e-008	5.018341e+001	4.405367e+000	9.088741e-002
3.825288029961946e-008	5.013187e+001	4.386978e+000	7.483634e-002
3.834873593847500e-008	5.008321e+001	4.370976e+000	6.278373e-002
3.844570092409578e-008	5.004016e+001	4.358151e+000	5.435889e-002
3.855979360268023e-008	4.999541e+001	4.346311e+000	4.709927e-002
3.868165509305028e-008	4.995256e+001	4.336401e+000	4.156002e-002
3.880209790724425e-008	4.991462e+001	4.329060e+000	3.762500e-002
3.904298353563218e-008	4.984622e+001	4.318537e+000	3.247464e-002
3.928232307881165e-008	4.978472e+001	4.311677e+000	2.920496e-002
3.976100216517058e-008	4.967223e+001	4.303788e+000	2.562748e-002
4.022388016633719e-008	4.956987e+001	4.299667e+000	2.371698e-002
4.114963616867040e-008	4.937317e+001	4.295677e+000	2.175852e-002
4.214963616867041e-008	4.916425e+001	4.293062e+000	2.036475e-002
4.314963616867041e-008	4.895721e+001	4.291182e+000	1.931151e-002
4.414963616867041e-008	4.875120e+001	4.289593e+000	1.841418e-002
4.514963616867041e-008	4.854602e+001	4.288218e+000	1.763312e-002
4.614963616867042e-008	4.834155e+001	4.287022e+000	1.694464e-002
4.714963616867042e-008	4.813771e+001	4.285978e+000	1.633340e-002
4.814963616867042e-008	4.793441e+001	4.285064e+000	1.578564e-002
4.914963616867042e-008	4.773159e+001	4.284263e+000	1.529244e-002
5.014963616867042e-008	4.752918e+001	4.283559e+000	1.484498e-002
5.114963616867043e-008	4.732715e+001	4.282940e+000	1.443776e-002
5.214963616867043e-008	4.712543e+001	4.282396e+000	1.406479e-002
5.314963616867043e-008	4.692402e+001	4.281918e+000	1.372254e-002
5.414963616867043e-008	4.672285e+001	4.281497e+000	1.340672e-002
5.514963616867044e-008	4.652192e+001	4.281128e+000	1.311501e-002
5.614963616867044e-008	4.632119e+001	4.280804e+000	1.284424e-002
5.714963616867044e-008	4.612065e+001	4.280521e+000	1.259283e-002
5.814963616867044e-008	4.592027e+001	4.280275e+000	1.235836e-002
5.914963616867045e-008	4.572005e+001	4.280061e+000	1.213976e-002
6.014963616867045e-008	4.551996e+001	4.279877e+000	1.193512e-002
6.114963616867044e-008	4.532000e+001	4.279719e+000	1.174372e-002
6.214963616867044e-008	4.512014e+001	4.279585e+000	1.156401e-002
6.314963616867044e-008	4.492040e+001	4.279473e+000	1.139551e-002
6.414963616867043e-008	4.472075e+001	4.279381e+000	1.123694e-002
6.514963616867043e-008	4.452119e+001	4.279306e+000	1.108799e-002
6.614963616867042e-008	4.432172e+001	4.279249e+000	1.094760e-002
6.714963616867042e-008	4.412231e+001	4.279206e+000	1.081555e-002
6.814963616867041e-008	4.392299e+001	4.279177e+000	1.069095e-002
6.914963616867041e-008	4.372373e+001	4.279161e+000	1.057367e-002
7.014963616867041e-008	4.352454e+001	4.279157e+000	1.046296e-002
7.114963616867040e-008	4.332541e+001	4.279164e+000	1.035873e-002
7.214963616867040e-008	4.312634e+001	4.279181e+000	1.026032e-002
7.314963616867039e-008	4.292733e+001	4.279208e+000	1.016772e-002
7.414963616867039e-008	4.272837e+001	4.279243e+000	1.008033e-002
7.514963616867038e-008	4.252947e+001	4.279287e+000	9.998174e-003
7.614963616867038e-008	4.233062e+001	4.279338e+000	9.920722e-003
7.714963616867038e-008	4.213182e+001	4.279397e+000	9.848011e-003
7.814963616867037e-008	4.193307e+001	4.279463e+000	9.779580e-003
7.914963616867037e-008	4.173437e+001	4.279536e+000	9.715481e-003
8.014963616867036e-008	4.153572e+001	4.279615e+000	9.655298e-003
8.114963616867036e-008	4.133711e+001	4.279699e+000	9.599094e-003
8.214963616867035e-008	4.113855e+001	4.279790e+000	9.546494e-003
8.314963616867035e-008	4.094004e+001	4.279885e+000	9.497570e-003
8.414963616867035e-008	4.074158e+001	4.279986e+000	9.451982e-003
8.514963616867034e-008	4.054316e+001	4.280092e+000	9.409806e-003
8.714963616867033e-008	4.014646e+001	4.280318e+000	9.334841e-003
8.914963616867032e-008	3.974994e+001	4.280562e+000	9.271835e-003
9.114963616867032e-008	3.935361e+001	4.280823e+000	9.220052e-003
9.414963616867030e-008	3.875945e+001	4.281242e+000	9.161973e-003
9.714963616867029e-008	3.816572e+001	4.281694e+000	9.125870e-003
9.943535045438457e-008	3.771363e+001	4.282060e+000	9.113183e-003
1.017210647400988e-007	3.726181e+001	4.282442e+000	9.110448e-003
1.040067790258131e-007	3.681025e+001	4.282838e+000	9.117664e-003
1.062924933115274e-007	3.635896e+001	4.283249e+000	9.134833e-003
1.085782075972417e-007	3.590793e+001	4.283675e+000	9.161953e-003
1.108639218829559e-007	3.545717e+001	4.284117e+000	9.199025e-003
1.131496361686702e-007	3.500668e+001	4.284574e+000	9.246049e-003
1.211496361686702e-007	3.343115e+001	4.286285e+000	9.488022e-003
1.291496361686702e-007	3.186055e+001	4.288132e+000	9.807822e-003
1.371496361686701e-007	3.029489e+001	4.290112e+000	1.020545e-002
1.451496361686701e-007	2.873417e+001	4.292227e+000	1.068090e-002
1.531496361686701e-007	2.717838e+001	4.294477e+000	1.123418e-002
1.611496361686700e-007	2.562753e+001	4.296860e+000	1.186529e-002
1.691496361686700e-007	2.408161e+001	4.299378e+000	1.257422e-002
1.774353504543843e-007	2.248387e+001	4.302117e+000	1.337063e-002
1.857210647400985e-007	2.090009e+001	4.304970e+000	1.422312e-002
1.940067790258128e-007	1.933025e+001	4.307936e+000	1.513170e-002
2.022924933115270e-007	1.777436e+001	4.311015e+000	1.609636e-002
2.105782075972413e-007	1.623242e+001	4.314207e+000	1.711711e-002
2.188639218829555e-007	1.470443e+001	4.317513e+000	1.819394e-002
2.271496361686698e-007	1.319038e+001	4.320932e+000	1.932686e-002
2.302924933115269e-007	1.262413e+001	4.322250e+000	1.976541e-002
2.334353504543841e-007	1.206385e+001	4.323556e+000	2.020728e-002
2.365782075972413e-007	1.150954e+001	4.324851e+000	2.065245e-002
2.397210647400984e-007	1.096119e+001	4.326135e+000	2.110094e-002
2.428639218829556e-007	1.041882e+001	4.327407e+000	2.155273e-002
2.460067790258128e-007	9.882405e+000	4.328668e+000	2.200784e-002
2.491496361686699e-007	9.351963e+000	4.329918e+000	2.246625e-002
2.531496361686700e-007	8.692655e+000	4.331410e+000	2.304572e-002
2.541496361686700e-007	8.530477e+000	4.331766e+000	2.319001e-002
2.565782075972415e-007	8.138434e+000	4.332645e+000	2.354226e-002
2.590067790258130e-007	7.757096e+000	4.333411e+000	2.388785e-002
2.614353504543845e-007	7.386463e+000	4.334064e+000	2.422678e-002
2.638639218829560e-007	7.026533e+000	4.334603e+000	2.455905e-002
2.662924933115275e-007	6.677307e+000	4.335028e+000	2.488467e-002
2.687210647400989e-007	6.338786e+000	4.335340e+000	2.520363e-002
2.711496361686704e-007	6.010969e+000	4.335539e+000	2.551592e-002
2.741496361686705e-007	5.632823e+000	4.335444e+000	2.588296e-002
2.761496361686705e-007	5.396007e+000	4.335209e+000	2.611968e-002
2.771496361686705e-007	5.282501e+000	4.335042e+000	2.623626e-002
2.781496361686706e-007	5.172373e+000	4.334846e+000	2.635209e-002
2.791496361686706e-007	5.065681e+000	4.334624e+000	2.646762e-002
2.801496361686706e-007	4.962459e+000	4.334382e+000	2.658336e-002
2.811496361686706e-007	4.862710e+000	4.334124e+000	2.669990e-002
2.821496361686707e-007	4.766406e+000	4.333857e+000	2.681786e-002
2.831496361686707e-007	4.673489e+000	4.333590e+000	2.693787e-002
2.841496361686707e-007	4.583865e+000	4.333329e+000	2.706054e-002
2.851496361686707e-007	4.497411e+000	4.333082e+000	2.718642e-002
2.881496361686708e-007	4.255468e+000	4.332488e+000	2.758721e-002
2.891496361686708e-007	4.180013e+000	4.332353e+000	2.772921e-002
2.901496361686708e-007	4.106827e+000	4.332253e+000	2.787544e-002
2.911496361686709e-007	4.035717e+000	4.332188e+000	2.802577e-002
2.921496361686709e-007	3.966496e+000	4.332159e+000	2.817999e-002
2.931496361686709e-007	3.898986e+000	4.332163e+000	2.833785e-002
2.941496361686709e-007	3.833024e+000	4.332199e+000	2.849909e-002
2.951496361686709e-007	3.768457e+000	4.332264e+000	2.866343e-002
2.961496361686710e-007	3.705147e+000	4.332357e+000	2.883060e-002
2.971496361686710e-007	3.642966e+000	4.332476e+000	2.900036e-002
2.991496361686710e-007	3.521547e+000	4.332780e+000	2.934666e-002
3.011496361686711e-007	3.403412e+000	4.333161e+000	2.970063e-002
3.041496361686711e-007	3.231007e+000	4.333850e+000	3.024293e-002
3.061496361686712e-007	3.119103e+000	4.334382e+000	3.061166e-002
3.081496361686712e-007	3.008158e+000	4.334942e+000	3.098285e-002
3.101496361686713e-007	2.898173e+000	4.335529e+000	3.135650e-002
3.121496361686713e-007	2.789146e+000	4.336143e+000	3.173262e-002
3.141496361686714e-007	2.681077e+000	4.336784e+000	3.211120e-002
3.161496361686714e-007	2.573968e+000	4.337452e+000	3.249224e-002
3.181496361686715e-007	2.467817e+000	4.338148e+000	3.287574e-002
3.215782075972429e-007	2.286460e+000	4.339359e+000	3.353535e-002
3.250067790258145e-007	2.105598e+000	4.340617e+000	3.419700e-002
3.284353504543860e-007	1.925230e+000	4.341920e+000	3.486068e-002
3.318639218829575e-007	1.745357e+000	4.343270e+000	3.552640e-002
3.352924933115290e-007	1.565978e+000	4.344665e+000	3.619416e-002
3.387210647401005e-007	1.387094e+000	4.346106e+000	3.686396e-002
3.421496361686720e-007	1.208704e+000	4.347593e+000	3.753580e-002
3.442924933115292e-007	1.097148e+000	4.348548e+000	3.795601e-002
3.464353504543864e-007	9.856850e-001	4.349544e+000	3.837666e-002
3.485782075972435e-007	8.743142e-001	4.350583e+000	3.879774e-002
3.507210647401008e-007	7.630359e-001	4.351664e+000	3.921925e-002
3.528639218829579e-007	6.518500e-001	4.352787e+000	3.964119e-002
3.550067790258152e-007	5.407567e-001	4.353951e+000	4.006357e-002
3.571496361686723e-007	4.297559e-001	4.355158e+000	4.048637e-002
3.601496361686724e-007	2.745840e-001	4.356994e+000	4.107875e-002
3.611496361686724e-007	2.235733e-001	4.358194e+000	4.125160e-002
3.621496361686724e-007	1.761526e-001	4.362391e+000	4.133891e-002
3.631496361686725e-007	1.368488e-001	4.373288e+000	4.133998e-002
3.641496361686725e-007	1.078925e-001	4.392619e+000	4.134278e-002
3.651496361686725e-007	8.775190e-002	4.419038e+000	4.140232e-002
3.661496361686725e-007	7.362983e-002	4.450207e+000	4.151156e-002
