time	V(vd)	V(vgs)	Id(M1)
0.000000000000000e+000	5.000000e+000	5.218712e-003	5.699145e-011
9.999999960041972e-012	5.000000e+000	5.222254e-003	-1.804456e-007
1.076651229945645e-011	5.000000e+000	5.222538e-003	-1.950343e-007
1.229953697828539e-011	5.000000e+000	5.223166e-003	-2.277757e-007
1.536558633594329e-011	5.000000e+000	5.224639e-003	-3.065686e-007
2.149768505125909e-011	5.000000e+000	5.228461e-003	-5.179766e-007
3.376188248189067e-011	5.000000e+000	5.239564e-003	-1.150896e-006
5.829027734315385e-011	5.000001e+000	5.275486e-003	-3.228946e-006
1.073470670656802e-010	5.000004e+000	5.395304e-003	-1.012524e-005
1.819006223136097e-010	5.000017e+000	5.684738e-003	-2.647487e-005
2.655756682531481e-010	5.000043e+000	6.154520e-003	-5.240731e-005
3.286233461694760e-010	5.000075e+000	6.624270e-003	-7.772637e-005
3.819129185444283e-010	5.000113e+000	7.115241e-003	-1.036025e-004
4.336726108077675e-010	5.000164e+000	7.678341e-003	-1.326529e-004
4.929916529205079e-010	5.000237e+000	8.427233e-003	-1.704555e-004
5.582794484812791e-010	5.000341e+000	9.386444e-003	-2.176677e-004
6.448893438942464e-010	5.000522e+000	1.087585e-002	-2.888468e-004
7.437480964274298e-010	5.000794e+000	1.288035e-002	-3.812864e-004
8.663469052123272e-010	5.001240e+000	1.581676e-002	-5.111551e-004
1.000000000000000e-009	5.001829e+000	1.941317e-002	-6.652662e-004
1.040095928436302e-009	5.002053e+000	2.060879e-002	-7.133431e-004
1.093557166351371e-009	5.002378e+000	2.218151e-002	-7.729891e-004
1.200479642181509e-009	5.003110e+000	2.523979e-002	-8.770913e-004
1.414324593841786e-009	5.004793e+000	3.107328e-002	-1.041572e-003
1.693298698396436e-009	5.007301e+000	3.819405e-002	-1.188144e-003
2.098688514378651e-009	5.011342e+000	4.783625e-002	-1.309515e-003
2.574330724400486e-009	5.016399e+000	5.860885e-002	-1.379932e-003
3.255510357820741e-009	5.024035e+000	7.464311e-002	-1.471453e-003
3.932614252108820e-009	5.032483e+000	9.456353e-002	-1.710116e-003
4.653693163896275e-009	5.043532e+000	1.238519e-001	-2.228687e-003
5.344546492784462e-009	5.057373e+000	1.612079e-001	-2.926409e-003
6.099794110132985e-009	5.077450e+000	2.124636e-001	-3.762064e-003
7.253128826109812e-009	5.116808e+000	3.059977e-001	-4.982992e-003
8.644302682490934e-009	5.174529e+000	4.353987e-001	-6.345550e-003
1.006524720465652e-008	5.241494e+000	5.804595e-001	-7.797469e-003
1.103054777620436e-008	5.289474e+000	6.836134e-001	-9.064271e-003
1.166651623590921e-008	5.320690e+000	7.516382e-001	-1.017115e-002
1.226857395469050e-008	5.348360e+000	8.141113e-001	-1.144796e-002
1.288145319333307e-008	5.373552e+000	8.752501e-001	-1.291049e-002
1.363841339599140e-008	5.400260e+000	9.475928e-001	-1.472980e-002
1.439761235850451e-008	5.422364e+000	1.016544e+000	-1.629844e-002
1.526678305848655e-008	5.442735e+000	1.091269e+000	-1.762326e-002
