time	V(vds)	V(vgs)	Id(M1)
0.000000000000000e+000	5.000000e+000	5.218712e-003	5.699145e-011
9.999999960041972e-012	5.000000e+000	5.222254e-003	-1.804451e-007
1.076651229945434e-011	5.000000e+000	5.222538e-003	-1.950338e-007
1.229953697827906e-011	5.000000e+000	5.223166e-003	-2.277754e-007
1.536558633592852e-011	5.000000e+000	5.224639e-003	-3.065690e-007
2.149768505122743e-011	5.000000e+000	5.228461e-003	-5.179770e-007
3.376188248182525e-011	5.000000e+000	5.239564e-003	-1.150896e-006
5.829027734302088e-011	5.000001e+000	5.275486e-003	-3.228946e-006
1.073470670654122e-010	5.000004e+000	5.395304e-003	-1.012524e-005
1.819006229808466e-010	5.000017e+000	5.684738e-003	-2.647487e-005
2.655756692784002e-010	5.000043e+000	6.154520e-003	-5.240731e-005
3.286233473431068e-010	5.000075e+000	6.624270e-003	-7.772637e-005
3.819129200472425e-010	5.000113e+000	7.115241e-003	-1.036025e-004
4.336726127163171e-010	5.000164e+000	7.678341e-003	-1.326529e-004
4.929916551032726e-010	5.000237e+000	8.427233e-003	-1.704555e-004
5.582794516960856e-010	5.000341e+000	9.386444e-003	-2.176677e-004
6.448893480019493e-010	5.000522e+000	1.087585e-002	-2.888468e-004
7.437481021362050e-010	5.000794e+000	1.288035e-002	-3.812865e-004
8.663469126600334e-010	5.001240e+000	1.581676e-002	-5.111551e-004
1.000000000000000e-009	5.001829e+000	1.941317e-002	-6.652661e-004
1.040095926201990e-009	5.002053e+000	2.060879e-002	-7.133431e-004
1.093557161137977e-009	5.002378e+000	2.218151e-002	-7.729891e-004
1.200479631009950e-009	5.003110e+000	2.523979e-002	-8.770913e-004
1.414324570753897e-009	5.004793e+000	3.107328e-002	-1.041572e-003
1.693298683608126e-009	5.007301e+000	3.819405e-002	-1.188144e-003
2.098688505860112e-009	5.011342e+000	4.783624e-002	-1.309515e-003
2.574330709009689e-009	5.016399e+000	5.860885e-002	-1.379932e-003
