time	V(A,N016)	I(L1)
0.000000000000000e+00	-1.039944e+02	2.207929e+00
1.681172311224222e-07	-1.039941e+02	2.205810e+00
2.129280307801296e-07	-1.039940e+02	2.205245e+00
3.149092828377831e-07	-1.039938e+02	2.203960e+00
3.573514702585878e-07	-1.039937e+02	2.203425e+00
3.969086474556183e-07	-1.039936e+02	2.202926e+00
4.348418222860362e-07	-1.039935e+02	2.202448e+00
4.763010782830868e-07	-1.039934e+02	2.201926e+00
5.201204431037887e-07	-1.039933e+02	2.201374e+00
5.714745988823211e-07	-1.039932e+02	2.200727e+00
6.332027274527641e-07	-1.039931e+02	2.199949e+00
7.111928834284409e-07	-1.039930e+02	2.198966e+00
8.123378393079528e-07	-1.039928e+02	2.197692e+00
9.538700908515163e-07	-1.039925e+02	2.195909e+00
1.133225878184596e-06	-1.039921e+02	2.193651e+00
1.443224392230769e-06	-1.039915e+02	2.189747e+00
1.739088032078756e-06	-1.039909e+02	2.186023e+00
2.207801264173664e-06	-1.039899e+02	2.180126e+00
3.701064871318438e-06	-1.039869e+02	2.161359e+00
6.787153044616329e-06	-1.039805e+02	2.122679e+00
1.058866165203759e-05	-1.039724e+02	2.075239e+00
1.819167886688011e-05	-1.039553e+02	1.981047e+00
3.339771329656516e-05	-1.039175e+02	1.794425e+00
4.373430232125844e-05	-1.038873e+02	1.668993e+00
5.489695026281508e-05	-1.038489e+02	1.535193e+00
6.610129332336109e-05	-1.038067e+02	1.402289e+00
7.391023758527085e-05	-1.037763e+02	1.310585e+00
8.260809511635714e-05	-1.037422e+02	1.209395e+00
9.112849092199338e-05	-1.037091e+02	1.111203e+00
1.027285447743990e-04	-1.036644e+02	9.791101e-01
1.203313772101880e-04	-1.035978e+02	7.821272e-01
1.504647270735848e-04	-1.034866e+02	4.534545e-01
1.910204952124787e-04	-1.033424e+02	2.708139e-02
2.464558013367604e-04	-1.031552e+02	-5.266112e-01
3.208306711570824e-04	-1.029148e+02	-1.237231e+00
3.210214060203644e-04	-1.029142e+02	-1.238992e+00
3.214028757469282e-04	-1.029130e+02	-1.242444e+00
3.290711480017743e-04	-1.028897e+02	-1.311283e+00
3.367394202566203e-04	-1.028666e+02	-1.379675e+00
3.444076925114663e-04	-1.028436e+02	-1.447621e+00
3.520759647663123e-04	-1.028208e+02	-1.515120e+00
3.597442370211583e-04	-1.027981e+02	-1.582173e+00
3.674125092760043e-04	-1.027756e+02	-1.648780e+00
3.750807815308503e-04	-1.027532e+02	-1.714940e+00
3.753957515685337e-04	-1.027523e+02	-1.717642e+00
3.758157116187794e-04	-1.027510e+02	-1.721234e+00
3.766556317192672e-04	-1.027486e+02	-1.728413e+00
3.783354719202464e-04	-1.027438e+02	-1.742748e+00
3.816951523222013e-04	-1.027341e+02	-1.771366e+00
3.825350724226892e-04	-1.027317e+02	-1.778506e+00
3.842674076299478e-04	-1.027267e+02	-1.793210e+00
3.845823776676312e-04	-1.027258e+02	-1.795880e+00
3.859123878658180e-04	-1.027220e+02	-1.807146e+00
3.859140283347627e-04	-1.027220e+02	-1.807160e+00
3.859148518394473e-04	-1.027220e+02	-1.807167e+00
3.859153438342568e-04	-1.027220e+02	-1.807171e+00
3.859153792517833e-04	-1.027220e+02	-1.807172e+00
3.859154500868364e-04	-1.027220e+02	-1.807172e+00
3.859155917569426e-04	-1.027220e+02	-1.807174e+00
3.859157297161249e-04	-1.027220e+02	-1.807175e+00
3.859158607342171e-04	-1.027220e+02	-1.807176e+00
3.859159838500298e-04	-1.027220e+02	-1.807177e+00
3.859161461246888e-04	-1.027220e+02	-1.807178e+00
3.859163706775685e-04	-1.027220e+02	-1.807180e+00
3.859165816025960e-04	-1.027220e+02	-1.807182e+00
3.859167137811384e-04	-1.027220e+02	-1.807183e+00
3.859168796787223e-04	-1.027220e+02	-1.807184e+00
3.859169950971506e-04	-1.027220e+02	-1.807185e+00
3.859169953517351e-04	-1.027220e+02	-1.807185e+00
3.859179953517346e-04	-1.027220e+02	-1.807194e+00
3.859189953517340e-04	-1.027220e+02	-1.807202e+00
3.859191203517340e-04	-1.027220e+02	-1.807203e+00
3.859192871336348e-04	-1.027220e+02	-1.807205e+00
3.859193729454161e-04	-1.027220e+02	-1.807206e+00
3.859194979454160e-04	-1.027220e+02	-1.807207e+00
3.859196229454159e-04	-1.027220e+02	-1.807208e+00
3.859197479454159e-04	-1.027220e+02	-1.807209e+00
3.859199005498103e-04	-1.027220e+02	-1.807210e+00
3.859200750493327e-04	-1.027220e+02	-1.807212e+00
3.859203052326600e-04	-1.027220e+02	-1.807213e+00
3.859205701041944e-04	-1.027220e+02	-1.807216e+00
3.859210998472667e-04	-1.027220e+02	-1.807220e+00
3.859219055830157e-04	-1.027220e+02	-1.807227e+00
3.859233382308598e-04	-1.027220e+02	-1.807239e+00
3.859255027182686e-04	-1.027220e+02	-1.807257e+00
3.859277565844248e-04	-1.027219e+02	-1.807276e+00
3.859288072654669e-04	-1.027219e+02	-1.807285e+00
3.859293794717389e-04	-1.027219e+02	-1.807290e+00
3.859297014762175e-04	-1.027219e+02	-1.807293e+00
3.859299632780096e-04	-1.027219e+02	-1.807295e+00
3.859299944425389e-04	-1.027219e+02	-1.807295e+00
3.859300567716946e-04	-1.027219e+02	-1.807296e+00
3.859310567716941e-04	-1.027221e+02	-1.807305e+00
3.859320567716935e-04	-1.027238e+02	-1.807313e+00
3.859330567716930e-04	-1.027358e+02	-1.807321e+00
3.859340567716925e-04	-1.027802e+02	-1.807330e+00
3.859350567716920e-04	-1.028597e+02	-1.807338e+00
3.859360567716914e-04	-1.029272e+02	-1.807347e+00
3.859370567716909e-04	-1.029457e+02	-1.807355e+00
3.859380567716904e-04	-1.029320e+02	-1.807364e+00
3.859390567716899e-04	-1.029108e+02	-1.807372e+00
3.859400567716893e-04	-1.028897e+02	-1.807381e+00
3.859410567716888e-04	-1.028701e+02	-1.807389e+00
3.859420567716883e-04	-1.028515e+02	-1.807398e+00
3.859430567716877e-04	-1.028309e+02	-1.807406e+00
3.859440567716872e-04	-1.027767e+02	-1.807415e+00
3.859450567716867e-04	-1.026458e+02	-1.807423e+00
3.859460567716862e-04	-1.024430e+02	-1.807432e+00
3.859470567716856e-04	-1.021978e+02	-1.807440e+00
3.859481298068394e-04	-1.018973e+02	-1.807449e+00
3.859500196217967e-04	-1.012983e+02	-1.807465e+00
3.859512349531705e-04	-1.008056e+02	-1.807475e+00
3.859519827067205e-04	-1.002889e+02	-1.807481e+00
3.859524626965496e-04	-9.967383e+01	-1.807485e+00
3.859530103356157e-04	-9.862720e+01	-1.807489e+00
3.859534931993855e-04	-9.746833e+01	-1.807493e+00
3.859541098320159e-04	-9.569232e+01	-1.807498e+00
3.859551339997561e-04	-9.224050e+01	-1.807506e+00
3.859562643578271e-04	-8.782267e+01	-1.807514e+00
3.859577141414085e-04	-8.134247e+01	-1.807523e+00
3.859592717793299e-04	-7.358472e+01	-1.807533e+00
3.859607444843052e-04	-6.557257e+01	-1.807540e+00
3.859623592351140e-04	-5.617402e+01	-1.807547e+00
3.859638337273298e-04	-4.713154e+01	-1.807552e+00
3.859655904479564e-04	-3.590339e+01	-1.807556e+00
3.859674413642725e-04	-2.369851e+01	-1.807558e+00
3.859697657306975e-04	-8.043045e+00	-1.807557e+00
3.859723555692217e-04	9.498672e+00	-1.807552e+00
3.859757430772076e-04	3.198531e+01	-1.807538e+00
3.859797701677367e-04	5.667815e+01	-1.807512e+00
3.859851630246026e-04	8.534961e+01	-1.807465e+00
3.859874468363951e-04	9.485492e+01	-1.807441e+00
3.859890543916923e-04	9.956807e+01	-1.807423e+00
3.859901880143846e-04	1.018102e+02	-1.807409e+00
3.859911668792800e-04	1.030223e+02	-1.807397e+00
3.859919200554368e-04	1.036219e+02	-1.807388e+00
3.859922620997429e-04	1.037722e+02	-1.807384e+00
3.859932620997424e-04	1.039252e+02	-1.807372e+00
3.859942620997418e-04	1.039687e+02	-1.807360e+00
3.859952620997413e-04	1.039778e+02	-1.807347e+00
3.859962620997408e-04	1.039824e+02	-1.807335e+00
3.859972620997403e-04	1.039852e+02	-1.807323e+00
3.859982620997397e-04	1.039872e+02	-1.807311e+00
3.859995177668170e-04	1.039890e+02	-1.807295e+00
3.860010948442093e-04	1.039905e+02	-1.807276e+00
3.860026631514295e-04	1.039916e+02	-1.807257e+00
3.860044722970406e-04	1.039923e+02	-1.807235e+00
3.860064338612190e-04	1.039928e+02	-1.807211e+00
3.860089986208216e-04	1.039932e+02	-1.807180e+00
3.860117151136579e-04	1.039934e+02	-1.807147e+00
3.860151527187473e-04	1.039935e+02	-1.807105e+00
3.860189275979378e-04	1.039936e+02	-1.807059e+00
3.860238012997480e-04	1.039936e+02	-1.806999e+00
3.860292981507571e-04	1.039937e+02	-1.806932e+00
3.860363858039090e-04	1.039937e+02	-1.806845e+00
3.860446026333099e-04	1.039937e+02	-1.806745e+00
3.860552693842646e-04	1.039937e+02	-1.806615e+00
3.860679403455726e-04	1.039938e+02	-1.806460e+00
3.860844869181500e-04	1.039938e+02	-1.806258e+00
3.861048403047025e-04	1.039937e+02	-1.806010e+00
3.861135526325166e-04	1.039929e+02	-1.805904e+00
3.861196892293826e-04	1.039902e+02	-1.805829e+00
3.861250023117456e-04	1.039840e+02	-1.805764e+00
3.861319576723421e-04	1.039703e+02	-1.805679e+00
3.861345794551364e-04	1.039639e+02	-1.805647e+00
3.861369406280568e-04	1.039582e+02	-1.805618e+00
3.861400919365973e-04	1.039520e+02	-1.805580e+00
3.861424742889787e-04	1.039483e+02	-1.805551e+00
3.861454657029806e-04	1.039450e+02	-1.805514e+00
3.861488087089256e-04	1.039421e+02	-1.805473e+00
3.861532471195368e-04	1.039392e+02	-1.805419e+00
3.861585228433287e-04	1.039367e+02	-1.805355e+00
3.861656433737058e-04	1.039341e+02	-1.805268e+00
3.861746485981261e-04	1.039318e+02	-1.805158e+00
3.861864288071740e-04	1.039297e+02	-1.805014e+00
3.862017922401338e-04	1.039278e+02	-1.804827e+00
3.862217741409484e-04	1.039262e+02	-1.804583e+00
3.862494985920270e-04	1.039248e+02	-1.804245e+00
3.862852963535321e-04	1.039236e+02	-1.803808e+00
3.863386421269210e-04	1.039226e+02	-1.803158e+00
3.864071551748921e-04	1.039218e+02	-1.802322e+00
3.864767722451500e-04	1.039213e+02	-1.801473e+00
3.865448562929245e-04	1.039209e+02	-1.800643e+00
3.866120197353363e-04	1.039206e+02	-1.799824e+00
3.866801402571916e-04	1.039203e+02	-1.798994e+00
3.867486052800580e-04	1.039202e+02	-1.798159e+00
3.868173658665014e-04	1.039199e+02	-1.797321e+00
3.868861181367707e-04	1.039197e+02	-1.796483e+00
3.869547940924638e-04	1.039195e+02	-1.795646e+00
3.870237702723531e-04	1.039193e+02	-1.794805e+00
3.870923230194466e-04	1.039191e+02	-1.793970e+00
3.871615218314327e-04	1.039190e+02	-1.793127e+00
3.872297521571172e-04	1.039188e+02	-1.792295e+00
3.872992537322338e-04	1.039186e+02	-1.791448e+00
3.873668495135429e-04	1.039184e+02	-1.790625e+00
3.874368307601357e-04	1.039182e+02	-1.789773e+00
3.875032231163769e-04	1.039180e+02	-1.788964e+00
3.875739962233143e-04	1.039178e+02	-1.788102e+00
3.876381335968897e-04	1.039177e+02	-1.787320e+00
3.877234748661633e-04	1.039174e+02	-1.786281e+00
3.878036420137086e-04	1.039172e+02	-1.785305e+00
3.879093940362850e-04	1.039169e+02	-1.784017e+00
3.880207306246088e-04	1.039166e+02	-1.782662e+00
3.881865037962361e-04	1.039162e+02	-1.780644e+00
3.883635649366314e-04	1.039157e+02	-1.778489e+00
3.885403528489616e-04	1.039152e+02	-1.776337e+00
3.887230754096166e-04	1.039147e+02	-1.774114e+00
3.889164196122577e-04	1.039142e+02	-1.771762e+00
3.890953395813378e-04	1.039137e+02	-1.769586e+00
3.892820502656574e-04	1.039132e+02	-1.767316e+00
3.894517267171473e-04	1.039127e+02	-1.765253e+00
3.896119653725959e-04	1.039123e+02	-1.763305e+00
3.897854657655998e-04	1.039118e+02	-1.761196e+00
3.899358151213082e-04	1.039113e+02	-1.759369e+00
3.901044110450023e-04	1.039109e+02	-1.757321e+00
3.902445736845180e-04	1.039105e+02	-1.755618e+00
3.903954094250442e-04	1.039101e+02	-1.753786e+00
3.905603028537125e-04	1.039096e+02	-1.751784e+00
